Name,OPrivCount
android.permission.CALL_PHONE,7075
android.permission.GET_ACCOUNTS,6720
android.permission.ACCESS_WIFI_STATE,5173
android.permission.READ_EXTERNAL_STORAGE,4404
android.permission.READ_PHONE_STATE,4184
android.permission.SYSTEM_ALERT_WINDOW,3016
android.permission.CAMERA,2894
android.permission.WRITE_CONTACTS,2831
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,2626
android.permission.WRITE_EXTERNAL_STORAGE,2571
android.permission.ACCESS_NETWORK_STATE,2022
android.permission.SEND_SMS,1987
android.permission.INTERNET,1977
android.permission.GET_TASKS,1802
android.permission.MODIFY_AUDIO_SETTINGS,1756
android.permission.ACCESS_FINE_LOCATION,1696
com.android.browser.permission.READ_HISTORY_BOOKMARKS,1649
android.permission.FLASHLIGHT,1628
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,1550
android.permission.CHANGE_NETWORK_STATE,1530
android.permission.ACCESS_COARSE_LOCATION,1486
android.permission.RECEIVE_SMS,1476
android.permission.WAKE_LOCK,1463
android.permission.BROADCAST_STICKY,1422
android.permission.WRITE_SETTINGS,1375
android.permission.READ_SMS,1368
android.permission.CHANGE_CONFIGURATION,1342
android.permission.ACCESS_MOCK_LOCATION,1302
android.permission.RECEIVE_BOOT_COMPLETED,1283
android.permission.CHANGE_WIFI_STATE,1272
android.permission.READ_CALENDAR,1193
android.permission.WRITE_CALENDAR,1113
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,1077
android.permission.VIBRATE,1070
android.permission.DISABLE_KEYGUARD,847
android.permission.RESTART_PACKAGES,814
android.permission.RECORD_AUDIO,800
android.permission.WRITE_SMS,798
android.permission.ACCESS_GPS,764
android.permission.USE_CREDENTIALS,705
android.permission.RECORD_VIDEO,651
android.permission.ACCESS_LOCATION,624
android.permission.ACCESS_ASSISTED_GPS,525
android.permission.BLUETOOTH,515
android.permission.BLUETOOTH_ADMIN,467
android.permission.KILL_BACKGROUND_PROCESSES,464
android.permission.READ_CALL_LOG,435
android.permission.READ_LOGS,432
android.permission.NFC,426
android.permission.PROCESS_OUTGOING_CALLS,417
android.permission.READ_CONTACTS,360
android.permission.BATTERY_STATS,342
android.permission.READ_PROFILE,304
android.permission.SET_WALLPAPER,301
android.permission.READ_OWNER_DATA,294
android.permission.WRITE_CALL_LOG,292
android.permission.MANAGE_ACCOUNTS,291
android.permission.READ_SYNC_SETTINGS,286
android.permission.WRITE_OWNER_DATA,283
android.permission.GET_PACKAGE_SIZE,275
android.permission.CLEAR_APP_CACHE,267
android.permission.DEVICE_POWER,254
android.permission.WRITE_INTERNAL_STORAGE,254
android.permission.EXPAND_STATUS_BAR,253
android.permission.MODIFY_PHONE_STATE,241
android.permission.WRITE_APN_SETTINGS,221
android.permission.SET_WALLPAPER_HINTS,206
android.permission.CHANGE_WIFI_MULTICAST_STATE,194
android.permission.WRITE_SECURE_SETTINGS,190
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,189
android.permission.AUTHENTICATE_ACCOUNTS,180
android.permission.REORDER_TASKS,175
android.permission.UPDATE_DEVICE_STATS,167
android.permission.WRITE_SYNC_SETTINGS,166
android.permission.CALL_PRIVILEGED,159
android.permission.ACCESS_SUPERUSER,156
android.permission.READ_SYNC_STATS,155
android.permission.ACCESS_DOWNLOAD_MANAGER,143
android.permission.SET_ORIENTATION,140
android.permission.RECEIVE_USER_PRESENT,138
android.permission.INSTALL_PACKAGES,134
android.permission.ACCESS_COARSE_UPDATES,132
android.permission.RECEIVE_MMS,127
android.permission.INTERACT_ACROSS_USERS_FULL,116
android.permission.RAISED_THREAD_PRIORITY,110
android.permission.STORAGE,110
android.permission.SET_DEBUG_APP,107
android.permission.DELETE_PACKAGES,106
android.permission.USE_SIP,104
android.permission.ACCOUNT_MANAGER,101
android.permission.READ_USER_DICTIONARY,100
android.permission.WRITE_USER_DICTIONARY,100
android.permission.CONTROL_LOCATION_UPDATES,97
android.permission.BAIDU_LOCATION_SERVICE,92
android.permission.CONFIGURE_SIP,86
android.permission.PERSISTENT_ACTIVITY,84
android.permission.ACCESS_SURFACE_FLINGER,83
android.permission.DELETE_CACHE_FILES,82
android.permission.LOCATION,74
android.permission.ACCESS_COARSE,66
android.permission.SYSTEM_OVERLAY_WINDOW,66
android.permission.WRITE_MEDIA_STORAGE,59
android.permission.ACCESS_COURSE_LOCATION,58
android.permission.FINE_LOCATION,57
android.permission.READ_SETTINGS,54
android.permission.STATUS_BAR,51
android.permission.MANAGE_DOCUMENTS,49
android.permission.READ_FRAME_BUFFER,49
android.permission.READ_INTERNAL_STORAGE,48
android.permission.RECEIVE_WAP_PUSH,48
android.permission.SUBSCRIBED_FEEDS_WRITE,46
android.permission.ACTION_HEADSET_PLUG,44
android.permission.SUBSCRIBED_FEEDS_READ,40
android.permission.ACCESS_CHECKIN_PROPERTIES,39
android.permission.ACCESS_CORSE_LOCATION,38
android.permission.ACCESS_WIMAX_STATE,38
android.permission.REBOOT,36
android.permissions.RECEIVE_BOOT_COMPLETED,36
android.permission.BIND_ACCESSIBILITY_SERVICE,34
android.permission.CLEAR_APP_USER_DATA,34
android.permission.HARDWARE_TEST,34
android.permission.INSTALL_LOCATION_PROVIDER,34
android.permission.ADD_SYSTEM_SERVICE,31
android.permission.CHANGE_WIMAX_STATE,31
android.permission.SET_PREFERRED_APPLICATIONS,31
android.permission.WRITE_EXTERNALS_STORAGE,31
android.permission.ACCESS_FIND_LOCATION,30
android.permission.BIND_APPWIDGET,30
android.permission.MOUNT_FORMAT_FILESYSTEMS,30
android.permission.INSTALL_SHORTCUT,27
android.permission.SET_TIME_ZONE,27
android.permission.WRITE_PROFILE,27
android.permission.ACTION_VIEW,26
android.permission.INSTALL_DRM,26
android.permission.BIND_WALLPAPER,25
android.permission.BROADCAST_SMS,25
android.permission.ACCES_MOCK_LOCATION,24
android.permission.INTERNAL_SYSTEM_WINDOW,23
android.permission.PERMISSION_NAME,23
android.permission.READ_SECURE_SETTINGS,23
android.permission.BROADCAST_PACKAGE_REMOVED,22
android.permission.INTERACT_ACROSS_USERS,22
android.permission.READ_HISTORY_BOOKMARKS,22
android.permission.CAPTURE_AUDIO_OUTPUT,21
android.permission.FORCE_STOP_PACKAGES,21
android.permission.BILLING,20
android.permission.SET_ALARM,20
android.permission.ACCESS_CELL_ID,19
android.permission.BOOT_COMPLETED,19
android.permission.READ_SOCIAL_STREAM,19
android.permission.WRITE_SOCIAL_STREAM,19
android.permission.ACCESS_ALL_DOWNLOADS,17
android.permission.SET_ALWAYS_FINISH,17
android.permission.WRITE_HISTORY_BOOKMARKS,17
android.permission.BIND_INPUT_METHOD,16
android.permission.CHANGE_COMPONENT_ENABLED_STATE,16
android.permission.NEW_OUTGOING_CALL,16
android.permission.SET_ACTIVITY_WATCHER,16
android.permission.TRANSMIT_IR,16
android.permission.ACTION_SEND,15
android.permission.PROCESS_INCOMING_CALLS,15
android.permission.ACCESS_PHONE_STATE,14
android.permission.FORCE_BACK,14
android.permission.GLOBAL_SEARCH,14
android.permission.SEND,14
android.permission.TELEPHONY_SERVICE,14
android.permission.ACCESS_BACKGROUND_SERVICE,13
android.permission.BACKUP_DATA,13
android.permission.DIAL_PHONE,13
android.permission.FLAG_ACTIVITY_NEW_TASK,13
android.permission.NETWORK_STATE,13
android.permission.RUN_INSTRUMENTATION,13
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,13
android.permission.CONNECTIVITY_SERVICE,12
android.permission.MASTER_CLEAR,12
android.permission.READ_PHONE_DATA,12
android.permission.RESTART_PACKAGE,12
android.permission.START_BACKGROUND_SERVICE,12
android.permission.USES_POLICY_FORCE_LOCK,12
android.permission..BILLING,11
android.permission.CAPTURE_SECURE_VIDEO_OUTPUT,11
android.permission.CAPTURE_VIDEO_OUTPUT,11
android.permission.PREVENT_POWER_KEY,11
android.permission.UNINSTALL_SHORTCUT,11
android.permission.WIFI_STATE,11
android.permission.WRITE_GSERVICES,11
android.permission.ACCESS_NETWORK,10
android.permission.BROADCAST_PACKAGE_ADDED,10
android.permission.C2D_MESSAGE,10
android.permission.DIAGNOSTIC,10
android.permission.INJECT_EVENTS,10
android.permission.NETWORK,10
android.permission.READ_INPUT_STATE,10
android.permission.SECURITY,10
android.permission.WRITE_SYNC_STATS,10
android.permission.sec.MDM_APP_MGMT,10
android.permission.ACCESS_CACHE_FILESYSTEM,9
android.permission.BLUETOOTH_PRIVILEGED,9
android.permission.COARSE_FINE_LOCATION,9
android.permission.SET_TIME,9
android.permission.sec.ENTERPRISE_DEVICE_ADMIN,9
android.permission.,8
