Permission 1,Permission 2,OccuringCount,PossibleCount,Rate
android.permission.READ_PHONE_STATE,android.permission.ACCESS_WIFI_STATE,243,12215,1.99
android.permission.WRITE_CONTACTS,android.permission.CALL_PHONE,220,12215,1.8
android.permission.READ_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS,205,12215,1.68
android.permission.GET_ACCOUNTS,android.permission.ACCESS_WIFI_STATE,205,12215,1.68
android.permission.ACCESS_FINE_LOCATION,android.permission.ACCESS_COARSE_LOCATION,190,12215,1.56
android.permission.READ_SMS,android.permission.WRITE_SMS,190,12215,1.56
android.permission.READ_PHONE_STATE,android.permission.WAKE_LOCK,167,12215,1.37
android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_WIFI_STATE,166,12215,1.36
android.permission.READ_PHONE_STATE,android.permission.GET_ACCOUNTS,165,12215,1.35
android.permission.CALL_PHONE,android.permission.GET_ACCOUNTS,165,12215,1.35
android.permission.WRITE_CONTACTS,android.permission.READ_SMS,163,12215,1.33
android.permission.ACCESS_NETWORK_STATE,android.permission.READ_PHONE_STATE,161,12215,1.32
android.permission.ACCESS_NETWORK_STATE,android.permission.WAKE_LOCK,158,12215,1.29
android.permission.READ_EXTERNAL_STORAGE,android.permission.CALL_PHONE,158,12215,1.29
android.permission.WAKE_LOCK,android.permission.ACCESS_WIFI_STATE,157,12215,1.29
android.permission.WRITE_CALENDAR,android.permission.READ_CALENDAR,150,12215,1.23
android.permission.CHANGE_WIFI_STATE,android.permission.ACCESS_WIFI_STATE,145,12215,1.19
android.permission.CALL_PHONE,android.permission.READ_SMS,143,12215,1.17
android.permission.WAKE_LOCK,android.permission.GET_ACCOUNTS,141,12215,1.15
android.permission.CHANGE_WIFI_STATE,android.permission.CHANGE_NETWORK_STATE,137,12215,1.12
android.permission.SYSTEM_ALERT_WINDOW,android.permission.READ_EXTERNAL_STORAGE,136,12215,1.11
android.permission.ACCESS_NETWORK_STATE,android.permission.GET_ACCOUNTS,133,12215,1.09
android.permission.WRITE_EXTERNAL_STORAGE,android.permission.ACCESS_WIFI_STATE,127,12215,1.04
android.permission.WRITE_CONTACTS,android.permission.WRITE_SMS,126,12215,1.03
android.permission.SYSTEM_ALERT_WINDOW,android.permission.GET_TASKS,124,12215,1.02
android.permission.READ_EXTERNAL_STORAGE,android.permission.GET_TASKS,124,12215,1.02
android.permission.READ_PHONE_STATE,android.permission.WRITE_EXTERNAL_STORAGE,123,12215,1.01
android.permission.GET_ACCOUNTS,android.permission.CHANGE_NETWORK_STATE,123,12215,1.01
android.permission.SYSTEM_ALERT_WINDOW,android.permission.CHANGE_NETWORK_STATE,122,12215,1
android.permission.GET_TASKS,android.permission.ACCESS_WIFI_STATE,118,12215,0.97
android.permission.READ_SMS,android.permission.READ_CALL_LOG,118,12215,0.97
android.permission.SYSTEM_ALERT_WINDOW,android.permission.READ_SMS,117,12215,0.96
android.permission.READ_EXTERNAL_STORAGE,android.permission.CHANGE_NETWORK_STATE,117,12215,0.96
android.permission.ACCESS_NETWORK_STATE,android.permission.WRITE_EXTERNAL_STORAGE,114,12215,0.93
android.permission.READ_EXTERNAL_STORAGE,android.permission.ACCESS_WIFI_STATE,114,12215,0.93
android.permission.ACCESS_NETWORK_STATE,android.permission.VIBRATE,113,12215,0.93
android.permission.CALL_PHONE,android.permission.ACCESS_WIFI_STATE,113,12215,0.93
com.android.browser.permission.READ_HISTORY_BOOKMARKS,com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,112,12215,0.92
android.permission.WRITE_CONTACTS,android.permission.SYSTEM_ALERT_WINDOW,111,12215,0.91
android.permission.WAKE_LOCK,android.permission.VIBRATE,109,12215,0.89
android.permission.GET_ACCOUNTS,android.permission.ACCESS_FINE_LOCATION,109,12215,0.89
android.permission.READ_PHONE_STATE,android.permission.VIBRATE,108,12215,0.88
android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_FINE_LOCATION,108,12215,0.88
android.permission.WRITE_EXTERNAL_STORAGE,android.permission.GET_ACCOUNTS,107,12215,0.88
com.android.browser.permission.READ_HISTORY_BOOKMARKS,android.permission.SYSTEM_ALERT_WINDOW,106,12215,0.87
android.permission.GET_TASKS,android.permission.GET_ACCOUNTS,106,12215,0.87
android.permission.VIBRATE,android.permission.ACCESS_WIFI_STATE,105,12215,0.86
android.permission.ACCESS_WIFI_STATE,android.permission.ACCESS_COARSE_LOCATION,105,12215,0.86
android.permission.WAKE_LOCK,android.permission.WRITE_EXTERNAL_STORAGE,104,12215,0.85
android.permission.CALL_PHONE,android.permission.CAMERA,104,12215,0.85
android.permission.WRITE_CONTACTS,android.permission.BROADCAST_STICKY,101,12215,0.83
android.permission.SYSTEM_ALERT_WINDOW,android.permission.CALL_PHONE,99,12215,0.81
android.permission.CALL_PHONE,android.permission.CHANGE_NETWORK_STATE,99,12215,0.81
android.permission.READ_PHONE_STATE,android.permission.ACCESS_COARSE_LOCATION,98,12215,0.8
android.permission.GET_ACCOUNTS,android.permission.VIBRATE,96,12215,0.79
android.permission.WRITE_EXTERNAL_STORAGE,android.permission.VIBRATE,95,12215,0.78
android.permission.GET_ACCOUNTS,android.permission.USE_CREDENTIALS,95,12215,0.78
android.permission.SYSTEM_ALERT_WINDOW,android.permission.WRITE_SMS,93,12215,0.76
android.permission.WRITE_SETTINGS,android.permission.ACCESS_WIFI_STATE,93,12215,0.76
android.permission.CHANGE_WIFI_STATE,android.permission.GET_ACCOUNTS,93,12215,0.76
android.permission.SYSTEM_ALERT_WINDOW,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,92,12215,0.75
android.permission.CALL_PHONE,android.permission.BROADCAST_STICKY,92,12215,0.75
android.permission.WRITE_CONTACTS,android.permission.READ_CALL_LOG,91,12215,0.74
android.permission.READ_PHONE_STATE,android.permission.ACCESS_FINE_LOCATION,90,12215,0.74
android.permission.WRITE_CONTACTS,android.permission.READ_EXTERNAL_STORAGE,89,12215,0.73
android.permission.READ_PHONE_STATE,android.permission.GET_TASKS,89,12215,0.73
android.permission.READ_EXTERNAL_STORAGE,android.permission.CHANGE_WIFI_STATE,89,12215,0.73
android.permission.CHANGE_NETWORK_STATE,android.permission.READ_SMS,89,12215,0.73
android.permission.READ_CALL_LOG,android.permission.WRITE_CALL_LOG,89,12215,0.73
android.permission.WRITE_CONTACTS,android.permission.WRITE_SETTINGS,88,12215,0.72
android.permission.WRITE_SETTINGS,android.permission.GET_TASKS,88,12215,0.72
android.permission.GET_ACCOUNTS,android.permission.ACCESS_COARSE_LOCATION,88,12215,0.72
android.permission.ACCESS_WIFI_STATE,android.permission.CHANGE_NETWORK_STATE,88,12215,0.72
android.permission.WRITE_SMS,android.permission.READ_CALL_LOG,87,12215,0.71
android.permission.GET_ACCOUNTS,android.permission.RECEIVE_BOOT_COMPLETED,86,12215,0.7
android.permission.READ_EXTERNAL_STORAGE,android.permission.RECEIVE_SMS,85,12215,0.7
android.permission.WRITE_SETTINGS,android.permission.GET_ACCOUNTS,85,12215,0.7
android.permission.READ_SMS,android.permission.RECEIVE_SMS,85,12215,0.7
android.permission.WRITE_CONTACTS,android.permission.WRITE_CALL_LOG,84,12215,0.69
android.permission.ACCESS_NETWORK_STATE,android.permission.GET_TASKS,84,12215,0.69
android.permission.CALL_PHONE,android.permission.RECEIVE_SMS,84,12215,0.69
android.permission.WAKE_LOCK,android.permission.GET_TASKS,83,12215,0.68
android.permission.READ_EXTERNAL_STORAGE,android.permission.CAMERA,83,12215,0.68
android.permission.READ_EXTERNAL_STORAGE,android.permission.MOUNT_UNMOUNT_FILESYSTEMS,82,12215,0.67
android.permission.GET_ACCOUNTS,android.permission.CAMERA,82,12215,0.67
android.permission.READ_SMS,android.permission.WRITE_CALL_LOG,82,12215,0.67
android.permission.WAKE_LOCK,android.permission.CHANGE_WIFI_STATE,80,12215,0.65
android.permission.CALL_PHONE,android.permission.GET_TASKS,80,12215,0.65
android.permission.GET_TASKS,android.permission.CHANGE_WIFI_STATE,80,12215,0.65
android.permission.WRITE_CONTACTS,android.permission.GET_ACCOUNTS,78,12215,0.64
android.permission.SYSTEM_ALERT_WINDOW,android.permission.WRITE_SETTINGS,78,12215,0.64
android.permission.WRITE_SETTINGS,android.permission.CHANGE_NETWORK_STATE,78,12215,0.64
android.permission.WAKE_LOCK,android.permission.ACCESS_COARSE_LOCATION,77,12215,0.63
android.permission.READ_EXTERNAL_STORAGE,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,77,12215,0.63
android.permission.WRITE_CONTACTS,android.permission.MODIFY_AUDIO_SETTINGS,76,12215,0.62
android.permission.WRITE_SMS,android.permission.WRITE_CALL_LOG,76,12215,0.62
android.permission.ACCESS_NETWORK_STATE,android.permission.CHANGE_NETWORK_STATE,75,12215,0.61
android.permission.SYSTEM_ALERT_WINDOW,android.permission.ACCESS_WIFI_STATE,75,12215,0.61
android.permission.CALL_PHONE,android.permission.RECORD_AUDIO,75,12215,0.61
android.permission.ACCESS_NETWORK_STATE,android.permission.CHANGE_WIFI_STATE,74,12215,0.61
android.permission.ACCESS_NETWORK_STATE,android.permission.ACCESS_FINE_LOCATION,74,12215,0.61
