Genre,AppsWithOverPriv,TotalApps,Percentage
Communication,366,475,77
Social,194,275,71
Business,119,175,68
Role Playing,53,78,68
Travel & Local,191,286,67
Casino,72,111,65
Shopping,91,142,64
Productivity,256,411,62
Transportation,88,141,62
Lifestyle,280,477,59
Adventure,47,83,57
Finance,139,242,57
Simulation,46,81,57
Photography,139,248,56
Strategy,54,99,55
News & Magazines,143,272,53
Sports,199,374,53
Action,95,187,51
Tools,662,1309,51
Media & Video,158,314,50
Music & Audio,274,552,50
Entertainment,438,891,49
Word,37,76,49
Family,23,48,48
Medical,43,90,48
Music,15,31,48
Libraries & Demo,11,24,46
Card,87,193,45
Education,364,806,45
Health & Fitness,101,226,45
Arcade,217,495,44
Books & Reference,197,489,40
Casual,225,559,40
Personalization,224,592,38
Racing,68,181,38
Weather,48,126,38
Trivia,27,75,36
Puzzle,257,746,34
Board,22,81,27
Educational,23,85,27
Comics,11,69,16
