PermissionId,ApkId
2,2795
3,2795
4,2795
10,1828
11,3113
12,3113
13,3113
14,3113
15,3113
16,4326
17,4326
18,4326
19,1799
11,1799
20,1799
5,6110
21,2464
23,6416
24,6416
27,2312
11,3154
13,3154
14,3154
15,3154
9,810
7,810
26,810
5,810
28,810
23,810
25,810
8,810
9,1737
21,6461
29,6461
12,223
28,223
7,223
30,223
12,667
15,6914
28,6914
23,6914
34,7936
35,1498
30,1498
5,1498
36,1498
12,1498
37,1498
6,1498
10,1498
38,1498
7,1498
39,1498
26,1498
8,1498
40,1498
2,1498
19,1498
41,1498
9,1498
42,1498
43,1498
44,1498
13,1498
14,1498
45,1498
46,1498
25,1498
47,1498
48,1498
20,1498
49,1498
50,1498
51,1498
22,1498
32,1498
29,1498
52,1498
53,1498
21,6351
21,961
55,961
29,4074
21,4074
28,4074
25,4074
57,4074
58,4074
59,4074
34,2632
56,2632
21,2632
58,2632
57,2632
59,2632
60,2632
39,2632
55,2632
41,2632
25,2632
21,5938
61,5938
7,90
13,3230
15,3230
15,4398
9,4398
12,4398
7,4398
22,4398
63,1981
40,1981
50,1981
32,1099
27,1099
9,6591
25,2886
13,695
2,7138
7,662
21,4918
29,4918
28,6535
21,5223
29,5223
5,3980
36,3980
8,3980
25,6640
26,4106
28,4106
67,4106
68,4106
69,4106
70,4106
11,4106
30,4106
35,4106
71,4106
22,4106
39,3523
41,3523
36,6046
72,6046
25,6046
32,4305
44,4305
16,4305
11,4305
15,4305
27,4305
7,2653
27,5781
7,5781
55,5781
20,5781
54,5781
28,6427
25,6427
7,6427
8,6427
35,6427
30,6427
39,279
63,1648
40,1648
2,1648
7,1648
73,2773
65,2773
49,2773
74,5745
21,5745
75,5745
56,5745
27,5745
25,3020
15,1417
5,3107
9,3107
21,3107
35,3107
30,3107
28,5160
63,2617
40,2617
57,1771
76,1771
28,5169
18,5169
16,933
27,185
8,3934
69,3934
7,3934
36,3934
16,1211
27,4524
29,4524
55,4524
56,97
16,97
49,97
24,3071
75,3071
2,3071
21,3071
77,3071
78,3071
54,3071
79,3071
80,3071
81,3071
21,4966
2,5929
19,5929
28,5929
23,5929
36,5929
11,859
16,859
55,859
21,859
22,859
82,859
49,859
20,859
17,859
9,1044
11,6429
7,3851
28,3821
36,6798
5,6798
38,6798
68,6798
16,2362
68,2362
21,5943
25,5943
29,5943
16,5943
21,4559
29,4559
63,4559
20,4559
21,902
82,902
49,902
7,5487
11,3114
12,3114
13,3114
14,3114
15,3114
12,1714
21,1412
2,1412
11,5091
13,5091
14,5091
15,5091
21,4939
21,3910
54,3910
18,3910
65,3910
21,6940
83,6940
84,6940
25,443
21,443
85,443
21,1980
25,1980
86,12
87,12
71,12
7,311
11,3198
13,3198
14,3198
15,3198
21,6467
75,6467
24,6467
2,6467
28,6467
18,6467
65,6467
54,6467
12,6368
5,6368
28,6368
7,6368
16,6368
8,6368
9,1311
36,1311
28,943
25,943
7,943
8,943
35,943
30,943
12,1599
63,7150
40,7150
81,7150
15,7150
39,7150
21,1051
9,1882
28,884
28,434
25,434
7,434
8,434
35,434
30,434
71,865
30,865
24,865
30,3626
22,5703
16,822
55,822
88,822
7,2688
21,2563
2,2563
50,2563
15,876
27,7059
16,7059
85,5390
56,2900
17,2900
6,2710
21,2614
85,5876
21,5876
2,5876
21,5427
30,3627
7,4676
54,4676
8,2796
9,6391
25,5802
11,3179
13,3179
14,3179
15,3179
19,929
35,5852
30,5852
28,4532
57,4532
59,4532
89,4532
2,3188
13,3188
19,3188
50,3188
56,6350
30,6755
35,6755
5,6755
9,5778
5,6813
28,6813
32,6813
21,6813
90,1140
21,1140
27,1140
85,1140
36,7947
50,7947
91,7947
92,7947
25,7947
2,6911
32,6911
21,6911
35,117
30,117
36,6673
7,6673
11,3144
12,3144
13,3144
14,3144
15,3144
15,6323
41,6080
15,6080
50,3088
29,5180
21,5180
28,5180
25,5180
57,5180
58,5180
59,5180
27,2427
32,2427
25,2427
20,2427
93,2427
2,2427
7,2427
32,1985
21,1985
71,7020
39,7020
41,7020
55,7020
16,7020
94,7020
54,7020
19,7020
16,2823
21,2679
55,2679
25,2679
24,1033
21,569
15,5976
28,5976
44,5976
22,5976
7,5976
12,5976
71,5976
9,5976
5,5976
95,5976
48,5976
8,5976
26,5976
32,5976
50,5976
71,6465
56,6803
5,1227
25,2389
9,6303
71,5338
15,690
27,233
28,1834
56,1834
12,1834
5,1834
7,1834
8,1834
96,4245
21,4672
28,4672
32,7210
27,7210
28,6818
39,1403
41,1403
16,1403
76,1403
44,1403
26,1403
22,1403
9,2092
63,5033
40,5033
50,5033
11,3376
13,3376
14,3376
15,3376
63,5299
40,5299
21,3116
28,1730
25,1116
8,5453
54,6506
30,5446
35,5446
11,3297
12,3297
13,3297
14,3297
15,3297
54,5283
21,4247
16,4247
63,4993
40,4993
50,4993
28,941
25,941
16,941
63,941
40,941
12,5176
9,5176
44,5176
8,5176
32,5176
24,5176
22,3010
15,3010
15,2317
97,2317
22,2317
21,6559
32,1890
9,1014
7,1014
22,1014
21,1014
16,4689
25,3210
19,2351
23,2351
28,2351
8,2351
30,2351
28,7177
50,7177
16,366
15,1039
21,2567
75,2567
24,2567
2,2567
28,2567
18,2567
65,2567
54,2567
25,287
57,287
58,287
25,6464
28,6464
21,6464
7,5286
20,4874
16,89
7,27
21,4543
29,234
39,234
41,234
7,1301
5,5936
9,5936
61,5936
99,236
21,2282
9,2282
7,2282
7,689
9,1746
16,590
32,5254
27,5254
55,5254
93,5254
20,5254
2,5254
54,5254
28,5254
32,4748
11,3288
12,3288
13,3288
14,3288
15,3288
21,526
75,526
2,526
28,526
18,526
65,526
47,526
100,526
43,526
54,526
21,5042
2,5042
36,5042
21,6719
9,6719
28,1631
25,797
12,3732
21,5827
29,5827
29,2959
39,2959
27,2959
55,651
21,651
9,1840
23,2885
28,1079
25,1079
7,1079
8,1079
35,1079
30,1079
28,6927
23,6927
24,6927
26,2620
5,2620
11,2620
8,2620
15,2620
24,2620
20,2620
32,2620
23,2620
28,2620
7,2620
49,2620
21,2620
37,2620
19,2620
29,2620
39,2620
22,2620
10,2620
6,2620
50,2620
18,2620
65,2620
54,2620
2,2620
68,2620
97,2620
36,2620
63,2620
40,2620
44,2620
33,2620
30,2620
35,2620
11,3183
13,3183
14,3183
15,3183
101,7152
28,7152
5,7152
36,7152
19,7152
28,4416
25,4416
7,4416
8,4416
35,4416
30,4416
102,4333
7,2260
15,6654
39,842
11,3150
13,3150
14,3150
15,3150
9,7013
29,7013
7,661
10,661
39,661
29,661
25,661
16,6764
56,6721
32,3506
26,1187
27,3009
85,3009
9,5770
50,5996
64,5996
7,4556
11,6772
26,5231
7,5231
9,5231
85,5231
11,3372
12,3372
13,3372
14,3372
15,3372
11,3290
13,3290
14,3290
15,3290
25,5440
21,3713
32,3713
9,413
40,4054
28,4508
21,4389
30,4389
35,4389
7,4389
28,4389
23,4389
11,3983
13,3983
14,3983
15,3983
27,107
11,835
16,835
55,835
21,835
22,835
82,835
49,835
20,835
103,835
26,2121
28,4943
7,4943
5,3156
12,3156
11,3170
13,3170
14,3170
15,3170
15,385
22,385
65,385
23,385
19,385
105,385
36,385
28,5510
21,5510
25,5510
8,3775
9,3775
47,6758
71,6758
2,6758
21,6758
106,6758
27,6758
55,6758
20,6758
15,6758
97,6758
7,2585
28,1021
25,5846
22,5846
27,5763
7,5763
55,5763
20,5763
54,5763
9,803
7,803
26,803
82,803
5,803
8,803
25,803
99,261
54,2223
32,2754
27,2754
7,2754
55,2754
20,2754
2,2759
21,2759
24,2759
54,2759
21,6408
7,6408
25,6408
85,3724
14,3724
28,1577
49,73
28,73
15,73
39,1054
11,3357
12,3357
13,3357
14,3357
15,3357
82,4541
29,1464
39,1464
27,1464
5,3094
27,5833
9,2719
11,4449
12,4449
13,4449
14,4449
15,4449
5,6070
27,1192
7,1192
55,1192
20,1192
2,1192
54,1192
50,4383
71,5953
31,5953
56,5953
15,5953
27,5953
18,5953
107,5953
16,5953
36,5953
76,5953
31,5198
96,5198
16,187
16,265
71,265
22,265
108,265
105,265
69,265
32,265
36,265
80,265
109,265
15,265
25,942
49,942
110,28
36,5363
10,5363
52,5363
39,5363
41,5363
28,5363
21,5363
5,2894
82,6498
19,6498
105,6498
43,6498
11,3136
12,3136
13,3136
14,3136
15,3136
15,4774
85,5906
21,5906
2,5906
27,1250
85,1250
15,2988
16,2988
16,3987
23,3987
36,3987
19,3987
25,2350
27,6560
12,4688
19,4688
9,2768
16,2768
21,4964
25,4964
29,4964
16,4964
32,3440
56,3440
20,3440
82,3440
44,3440
107,3440
16,3440
71,3440
15,3440
27,3440
25,2594
63,3923
40,3923
11,3184
12,3184
13,3184
14,3184
15,3184
11,3243
12,3243
13,3243
14,3243
15,3243
75,3819
21,3819
111,3819
19,2705
21,5153
26,4768
27,6811
85,379
56,379
25,379
33,837
5,837
36,837
5,5786
25,5786
36,6471
25,2668
16,2668
27,5656
54,5656
9,3959
32,3604
27,3604
55,3604
20,3604
2,3604
54,3604
21,4517
21,143
29,143
7,143
28,1803
25,1803
71,380
9,625
32,1193
99,1193
16,1193
21,1193
35,5442
30,5442
21,5442
28,4642
12,6147
21,7074
27,4916
21,4916
32,4916
50,4916
54,4916
19,4916
25,4916
29,4916
55,4916
25,5389
21,5389
11,3291
12,3291
13,3291
14,3291
15,3291
28,1087
23,1087
20,1087
71,1087
16,6795
25,6795
23,2161
19,2161
25,2161
39,2514
5,2514
94,2514
34,3905
100,3905
11,3905
9,5639
15,5126
19,3033
16,3033
28,6967
15,3462
6,8169
39,8169
55,8169
7,8169
112,8169
21,8169
81,8169
22,8169
31,8169
96,8169
26,8169
19,8169
113,8169
82,8169
98,8169
28,8169
23,8169
18,8169
65,8169
114,8169
9,8169
16,8169
56,8169
30,8169
35,8169
44,344
21,4176
6,4176
85,4366
21,4366
20,7660
56,7660
35,7660
30,7660
25,7660
13,7660
21,3029
7,953
115,953
34,953
82,953
8,953
39,953
41,953
5,1976
9,1976
49,1976
28,6983
22,3807
8,3807
38,471
68,471
8,5869
19,5869
25,5187
28,6326
21,5027
29,5027
5,5496
28,5496
18,5496
54,5496
21,5496
32,5496
25,5496
20,5496
6,5496
16,5496
7,5496
39,5496
24,5496
29,5496
26,5496
8,5496
9,5496
25,1770
7,1770
11,3654
12,3654
13,3654
14,3654
15,3654
31,6520
49,6520
116,522
36,5110
28,574
21,574
23,574
32,574
50,574
9,574
25,574
17,574
105,574
44,574
82,574
39,574
6,574
2,574
55,574
28,1472
21,5217
117,4728
16,4728
118,4728
15,4728
11,4728
54,4728
18,4728
65,4728
56,4728
20,4728
39,5369
119,5369
21,5369
56,4525
9,244
26,244
20,244
32,6609
11,3302
12,3302
13,3302
14,3302
15,3302
21,5080
29,5080
19,6155
21,6098
120,6098
6,6098
26,6098
85,2352
121,2352
21,2352
104,2352
9,7148
122,3093
27,3093
50,3093
16,3093
11,3093
24,3093
16,6078
21,1883
50,1883
15,214
12,3469
11,3373
12,3373
13,3373
14,3373
15,3373
21,7196
29,7196
2,5018
63,5018
40,5018
64,5018
63,4951
40,4951
21,2471
7,2471
2,2471
49,2471
82,2471
28,2471
22,2471
19,2471
85,2471
12,3884
85,3884
28,432
7,432
15,432
22,432
123,5666
16,5666
22,5666
27,4912
93,4912
20,4912
7,4912
69,6061
36,6061
50,151
16,151
27,151
21,151
19,151
9,6807
28,6807
23,6807
21,3213
21,5905
29,5905
125,6246
26,6246
82,6246
15,3745
12,3745
7,3745
5,3745
11,5087
13,5087
14,5087
15,5087
21,5137
25,5137
29,5137
16,5137
32,4299
22,4299
55,4299
39,4299
63,4886
40,4886
56,1810
28,179
28,4285
29,5817
21,5817
28,5817
25,5817
57,5817
58,5817
59,5817
25,5901
25,660
21,660
29,660
8,1709
28,228
9,6192
71,6192
7,6192
35,6192
30,6192
10,6192
27,6019
7,295
27,974
9,5292
126,7144
31,3091
9,3091
26,3091
27,5312
5,6128
27,6528
21,2517
25,2517
29,2517
30,3629
16,4627
9,4627
27,5871
32,1571
28,782
11,3293
13,3293
14,3293
15,3293
96,4210
15,2824
27,4957
5,4957
25,4957
2,4957
12,6788
25,5675
7,5675
21,5675
27,5675
71,5675
28,2430
25,2430
9,2936
28,2936
23,2936
25,887
12,4936
5,4936
28,4936
7,4936
16,4936
8,4936
28,5209
30,3562
28,3061
5,1409
16,3874
21,2618
111,2618
104,2618
55,2618
5,1349
21,921
29,921
9,1313
74,2284
111,2284
82,2284
49,2284
69,2284
50,1008
64,1008
7,3550
56,3550
25,3550
5,4985
16,328
71,4122
16,4122
82,4122
15,4122
30,4122
35,4122
35,4866
9,4866
29,6302
39,6302
27,6302
96,3532
16,3532
28,1199
39,3767
41,3767
50,82
7,3893
11,3305
12,3305
13,3305
14,3305
15,3305
2,2475
19,2475
28,2475
23,2475
36,2475
9,6286
35,6286
21,6356
54,6356
18,6356
65,6356
7,4515
99,176
71,3458
32,2347
27,2347
55,2347
93,2347
20,2347
7,2347
2,2347
54,2347
27,1026
2,167
21,167
55,167
25,5174
11,3303
12,3303
13,3303
14,3303
15,3303
21,4680
21,6473
25,6473
11,3192
12,3192
13,3192
14,3192
15,3192
6,95
2,95
15,7219
11,4048
13,4048
14,4048
15,4048
75,2729
25,2086
56,4656
11,1030
20,1030
15,1030
29,1030
89,5564
9,5564
5,5564
85,4477
49,4477
63,4477
40,4477
7,3476
16,3476
7,1971
32,1971
16,1971
29,1971
21,1971
54,1971
25,1971
71,5470
127,659
89,659
21,659
12,7206
5,7206
28,7206
7,750
8,35
17,2695
13,2695
21,5952
9,2287
19,2287
23,2287
28,2287
8,2287
21,5146
29,5146
39,2892
55,2892
8,2892
9,2231
9,2664
13,5842
27,5842
21,2478
75,2478
25,2478
85,3112
25,3112
21,6378
32,6378
25,6378
25,1693
28,5434
33,5434
21,5434
29,5434
6,5434
2,5434
50,909
114,909
27,346
85,5163
18,4413
21,3283
21,6407
15,8175
28,3209
25,3209
7,3209
8,3209
35,3209
30,3209
30,1230
85,1230
16,1230
25,1230
27,4677
11,3125
12,3125
13,3125
14,3125
15,3125
9,4810
21,2449
29,2449
25,6458
56,6458
50,6458
7,4292
12,815
9,815
7,815
26,815
82,815
5,815
28,815
23,815
8,815
25,815
27,3400
63,2097
40,2097
8,1395
35,2044
7,2044
21,2044
9,693
36,693
23,693
28,693
8,693
54,693
21,693
7,693
115,693
108,693
128,693
20,1162
11,6492
13,6492
14,6492
15,6492
119,3899
39,3899
21,3899
54,2454
9,6935
50,6935
25,1153
85,1306
21,2561
2,2561
50,2561
63,6572
40,6572
50,6572
11,7805
85,6800
25,6800
100,6800
47,6800
6,6800
2,6800
5,6800
64,6800
8,6800
30,6800
55,6800
26,6800
24,6800
22,6800
35,6800
20,6800
29,6800
32,6800
80,6800
28,6800
23,6800
71,6800
10,6800
127,6800
18,6800
32,6454
27,6454
7,6454
55,6454
20,6454
2,6454
54,6454
32,5039
96,4087
96,870
71,870
19,870
16,3793
28,3793
25,3793
29,3793
55,3793
27,3793
28,5693
24,3474
2,3474
21,3474
80,3474
21,3463
11,3463
71,3463
29,5188
21,5188
28,5188
25,5188
57,5188
58,5188
59,5188
21,1075
29,1075
27,169
9,4923
29,4923
9,4909
9,2390
28,2004
21,4379
25,4379
19,1816
16,636
35,636
30,636
17,636
26,636
7,636
21,6022
28,4921
36,4921
85,2532
7,1500
85,1049
20,5803
28,5803
27,935
21,935
50,935
54,935
19,935
25,935
29,935
55,935
25,3676
71,3676
28,108
48,5252
71,5252
20,5252
69,5252
50,5252
11,5252
82,5252
36,8172
23,8172
12,5328
28,5328
23,5328
36,5328
48,5955
9,1806
15,114
11,3647
12,3647
13,3647
14,3647
15,3647
22,5100
12,5100
27,349
85,349
21,2562
2,2562
50,2562
8,2702
8,6553
12,1551
26,1551
94,1551
12,3671
27,6913
8,2573
7,2573
21,2573
52,2573
19,2573
65,2573
11,2243
12,2243
13,2243
14,2243
15,2243
85,7193
115,7193
129,7193
21,7193
63,7193
130,7193
2,7193
15,1425
31,1425
28,166
35,2411
30,2411
75,4400
7,4400
28,5728
28,5258
56,3098
25,3098
25,1183
32,1074
2,2109
35,2109
30,2109
25,2109
25,4451
64,4451
28,4451
32,4451
15,159
21,2372
39,2372
22,5394
19,5394
13,6481
48,2035
21,2035
59,2035
58,2035
63,6597
40,6597
8,6433
94,4853
12,7162
9,7162
7,7162
24,4846
21,6713
83,6713
84,6713
5,5130
2,7077
19,7077
28,7077
82,639
21,639
22,639
30,3632
13,3251
15,3251
35,2395
30,2395
29,2101
55,2101
7,4632
32,2429
27,2429
55,2429
93,2429
20,2429
2,2429
54,2429
21,6476
25,6476
8,6476
93,7223
21,2125
75,2125
24,2125
2,2125
28,2125
18,2125
65,2125
54,2125
28,1072
25,1072
7,1072
8,1072
35,1072
30,1072
11,2306
82,4544
11,3245
12,3245
13,3245
14,3245
15,3245
15,4625
9,5275
31,375
50,4295
49,4295
82,4295
21,4295
48,4295
11,4295
117,4295
131,4295
15,4295
44,4295
54,4295
9,5582
25,4484
20,4350
7,4350
25,4350
96,4222
36,1764
47,1764
25,1764
64,1764
5,7035
11,3312
13,3312
14,3312
15,3312
7,3511
33,2008
23,2008
36,2008
8,2008
5,2008
5,6821
25,6821
71,2644
6,4114
39,4114
55,4114
7,4114
112,4114
21,4114
81,4114
22,4114
31,4114
96,4114
26,4114
19,4114
82,4114
98,4114
28,4114
23,4114
18,4114
65,4114
114,4114
9,4114
16,4114
56,4114
30,4114
35,4114
5,4114
26,4711
35,2545
19,2022
44,2422
15,2422
97,2422
47,2422
63,2422
40,2422
71,2422
82,2422
132,2422
54,2422
107,2422
49,2422
5,2870
7,2870
32,6672
16,6672
24,6672
28,4423
7,4423
21,6418
29,6418
56,4028
32,1574
27,1574
19,1804
11,1804
20,1804
16,6618
56,6618
133,6618
7,785
21,785
21,5202
29,5202
21,5731
29,5731
21,6410
29,6410
44,1126
50,1126
17,1126
32,2489
21,2489
52,6311
21,6311
63,6311
17,6311
81,6311
7,7191
21,6580
9,320
63,320
40,320
6,6594
2,6594
5,6475
2,2884
63,2884
55,1695
39,1695
41,1695
28,1908
28,6093
16,6093
9,1541
16,1541
25,1541
14,63
13,63
27,63
16,63
70,4600
67,4600
27,4600
27,5907
36,1457
76,1457
22,1457
21,3588
21,5721
5,6074
134,1114
27,6006
5,6006
32,6006
25,6006
20,6006
24,6006
93,6006
26,6006
2,6006
32,1242
11,8119
13,8119
14,8119
15,8119
25,219
56,5043
7,5043
21,5043
25,5043
21,1129
83,1129
84,1129
25,6666
21,6799
25,6799
64,6799
13,2685
15,2685
16,1096
2,823
52,823
53,823
39,823
41,823
82,823
13,823
14,823
63,823
40,823
20,823
135,823
27,823
54,823
95,823
65,823
94,823
15,823
79,7161
12,3031
5,3031
28,3031
7,3031
16,3031
8,3031
136,4529
32,2226
27,2226
2,6420
19,6420
28,6420
23,6420
36,6420
75,56
79,56
36,56
39,56
41,56
119,56
54,56
2,56
42,56
18,56
15,56
12,5483
44,5483
8,5483
5,5483
28,3589
32,3287
21,3513
11,5910
71,5910
20,5910
33,5910
54,5910
16,5910
117,5910
44,5910
131,5910
21,7216
29,7216
21,431
29,431
27,5978
50,6881
64,6881
96,4111
85,7072
13,324
15,324
32,7863
27,7863
55,7863
93,7863
