privName,PrivCount
android.permission.INTERNET,61413
android.permission.ACCESS_NETWORK_STATE,52235
android.permission.WRITE_EXTERNAL_STORAGE,36742
android.permission.READ_PHONE_STATE,26275
android.permission.WAKE_LOCK,22006
android.permission.ACCESS_WIFI_STATE,20601
android.permission.VIBRATE,18264
android.permission.ACCESS_FINE_LOCATION,17701
android.permission.ACCESS_COARSE_LOCATION,16477
android.permission.GET_ACCOUNTS,13605
com.google.android.c2dm.permission.RECEIVE,12879
android.permission.CAMERA,9776
android.permission.RECEIVE_BOOT_COMPLETED,8266
android.permission.CALL_PHONE,7753
com.android.vending.BILLING,7622
android.permission.GET_TASKS,6270
android.permission.READ_CONTACTS,6201
android.permission.RECORD_AUDIO,5490
android.permission.READ_EXTERNAL_STORAGE,4820
android.permission.CHANGE_WIFI_STATE,3842
android.permission.SEND_SMS,3798
android.permission.WRITE_SETTINGS,3624
com.android.launcher.permission.INSTALL_SHORTCUT,3276
android.permission.WRITE_CONTACTS,3267
android.permission.SYSTEM_ALERT_WINDOW,3213
com.google.android.providers.gsf.permission.READ_GSERVICES,2975
android.permission.MODIFY_AUDIO_SETTINGS,2835
android.permission.ACCESS_LOCATION_EXTRA_COMMANDS,2693
android.permission.RECEIVE_SMS,2644
android.permission.BLUETOOTH,2457
android.permission.READ_LOGS,2278
android.permission.BROADCAST_STICKY,2219
android.permission.DISABLE_KEYGUARD,2207
android.permission.USE_CREDENTIALS,2090
android.permission.SET_WALLPAPER,2042
android.permission.CHANGE_NETWORK_STATE,1895
com.android.browser.permission.READ_HISTORY_BOOKMARKS,1767
android.permission.FLASHLIGHT,1744
android.permission.RESTART_PACKAGES,1741
android.permission.BLUETOOTH_ADMIN,1686
android.permission.MOUNT_UNMOUNT_FILESYSTEMS,1655
com.android.vending.CHECK_LICENSE,1554
android.permission.READ_SMS,1552
android.permission.ACCESS_MOCK_LOCATION,1407
android.permission.CHANGE_CONFIGURATION,1404
android.permission.READ_CALENDAR,1287
android.permission.WRITE_CALENDAR,1193
com.android.browser.permission.WRITE_HISTORY_BOOKMARKS,1127
android.permission.KILL_BACKGROUND_PROCESSES,1104
android.permission.MANAGE_ACCOUNTS,1082
android.permission.PROCESS_OUTGOING_CALLS,967
com.android.launcher.permission.UNINSTALL_SHORTCUT,893
android.permission.WRITE_SMS,869
android.permission.ACCESS_GPS,809
android.permission.READ_SYNC_SETTINGS,722
android.permission.WRITE_SYNC_SETTINGS,706
android.permission.ACCESS_LOCATION,667
android.permission.RECORD_VIDEO,666
android.permission.AUTHENTICATE_ACCOUNTS,610
android.webkit.permission.PLUGIN,608
android.permission.ACCESS_ASSISTED_GPS,558
com.android.launcher.permission.READ_SETTINGS,534
android.permission.READ_CALL_LOG,499
com.amazon.device.messaging.permission.RECEIVE,472
android.permission.NFC,470
android.permission.CHANGE_WIFI_MULTICAST_STATE,450
android.permission.BATTERY_STATS,418
android.permission.MODIFY_PHONE_STATE,410
android.permission.SET_WALLPAPER_HINTS,370
android.permission.READ_PROFILE,349
android.permission.WRITE_CALL_LOG,337
android.permission.GET_PACKAGE_SIZE,333
android.permission.CLEAR_APP_CACHE,325
android.permission.READ_OWNER_DATA,306
android.permission.WRITE_OWNER_DATA,300
android.permission.EXPAND_STATUS_BAR,294
android.permission.WRITE_SECURE_SETTINGS,286
android.permission.WRITE_INTERNAL_STORAGE,285
READ_PHONE_STATE,282
android.permission.DEVICE_POWER,273
android.permission.READ_SYNC_STATS,253
android.permission.RECEIVE_MMS,246
android.permission.INSTALL_PACKAGES,242
android.permission.WRITE_APN_SETTINGS,232
com.android.alarm.permission.SET_ALARM,217
android.permission.ACCESS_SUPERUSER,201
android.permission.DOWNLOAD_WITHOUT_NOTIFICATION,200
android.permission.CALL_PRIVILEGED,199
android.permission.REORDER_TASKS,197
android.permission.UPDATE_DEVICE_STATS,189
com.htc.launcher.permission.READ_SETTINGS,166
android.permission.INTERACT_ACROSS_USERS_FULL,164
com.android.launcher.permission.WRITE_SETTINGS,160
android.permission.ACCESS_DOWNLOAD_MANAGER,152
android.permission.RECEIVE_USER_PRESENT,151
com.google.android.gms.permission.ACTIVITY_RECOGNITION,147
android.permission.SET_ORIENTATION,143
android.permission.ACCESS_COARSE_UPDATES,142
android.permission.STORAGE,134
android.permission.SET_DEBUG_APP,131
android.permission.WRITE_USER_DICTIONARY,125
android.permission.DELETE_PACKAGES,123
android.permission.PERSISTENT_ACTIVITY,122
android.permission.READ_USER_DICTIONARY,122
org.adw.launcher.permission.READ_SETTINGS,117
com.fede.launcher.permission.READ_SETTINGS,116
android.permission.RAISED_THREAD_PRIORITY,115
android.permission.USE_SIP,115
android.permission.CHANGE_COMPONENT_ENABLED_STATE,114
com.lge.launcher.permission.READ_SETTINGS,113
android.permission.ACCOUNT_MANAGER,105
android.permission.CONTROL_LOCATION_UPDATES,101
android.permission.BAIDU_LOCATION_SERVICE,93
android.permission.CONFIGURE_SIP,93
com.sonyericsson.extras.liveware.aef.EXTENSION_PERMISSION,93
com.sec.android.provider.badge.permission.READ,92
android.permission.RECEIVE_WAP_PUSH,91
android.permission.ACCESS_SURFACE_FLINGER,88
com.sec.android.provider.badge.permission.WRITE,88
com.google.android.googleapps.permission.GOOGLE_AUTH,87
android.permission.DELETE_CACHE_FILES,86
com.motorola.launcher.permission.INSTALL_SHORTCUT,85
com.motorola.dlauncher.permission.INSTALL_SHORTCUT,84
android.permission.LOCATION,83
com.lge.launcher.permission.INSTALL_SHORTCUT,83
android.permission.SET_PREFERRED_APPLICATIONS,82
android.permission.SYSTEM_OVERLAY_WINDOW,81
com.motorola.dlauncher.permission.READ_SETTINGS,81
com.motorola.launcher.permission.READ_SETTINGS,81
com.tmoney.vending.INBILLING,80
android.permission.ACCESS_COARSE,66
com.sec.android.iap.permission.BILLING,66
android.permission.WRITE_MEDIA_STORAGE,64
android.permission.REBOOT,63
android.permission.ACCESS_COURSE_LOCATION,62
android.permission.BIND_APPWIDGET,59
com.sonyericsson.home.permission.BROADCAST_BADGE,59
android.permission.READ_INTERNAL_STORAGE,58
com.google.android.gm.permission.READ_GMAIL,58
android.permission.FINE_LOCATION,57
android.permission.READ_SETTINGS,57
android.permission.ACTION_HEADSET_PLUG,55
com.android.email.permission.READ_ATTACHMENT,55
android.permission.STATUS_BAR,54
com.android.email.permission.ACCESS_PROVIDER,54
android.permission.MANAGE_DOCUMENTS,53
com.google.android.c2dm.permission.REGISTER,53
com.htc.launcher.permission.WRITE_SETTINGS,53
com.sec.android.provider.logsprovider.permission.READ_LOGS,53
android.permission.READ_FRAME_BUFFER,52
com.sec.android.provider.logsprovider.permission.WRITE_LOGS,52
android.permission.SUBSCRIBED_FEEDS_WRITE,51
com.jackhenry.godough.core.permission.ACTIVITY,50
com.jackhenry.godough.core.permission.MAPS_RECEIVE,50
com.skt.aom.permission.AOM_RECEIVE,50
android.permission.MOUNT_FORMAT_FILESYSTEMS,48
com.example.mapdemo.permission.MAPS_RECEIVE,46
android.permission.SUBSCRIBED_FEEDS_READ,45
com.google.android.c2dm.permission.SEND,45
android.permission.HARDWARE_TEST,43
android.permission.INJECT_EVENTS,43
android.permission.SET_TIME_ZONE,42
android.permission.ACCESS_CHECKIN_PROPERTIES,40
android.permission.BIND_ACCESSIBILITY_SERVICE,40
com.android.launcher3.permission.READ_SETTINGS,40
com.google.android.apps.googlevoice.permission.RECEIVE_SMS,40
com.sony.smallapp.permission.SMALLAPP,40
android.permission.ACCESS_CORSE_LOCATION,39
android.permission.ACCESS_WIMAX_STATE,39
android.permission.ADD_SYSTEM_SERVICE,38
com.google.android.providers.gmail.permission.READ_GMAIL,38
android.permission.INSTALL_LOCATION_PROVIDER,37
com.example.gcm.permission.C2D_MESSAGE,37
android.permission.CLEAR_APP_USER_DATA,36
android.permissions.RECEIVE_BOOT_COMPLETED,36
com.cmcflex.ftmobile.permission.C2D_MESSAGE,36
com.cmcflex.ftmobile.permission.MAPS_RECEIVE,36
com.htc.launcher.permission.UPDATE_SHORTCUT,36
com.facebook.permission.prod.FB_APP_COMMUNICATION,35
.permission.C2D_MESSAGE,34
android.permission.ACCESS_FIND_LOCATION,34
android.permission.WRITE_EXTERNALS_STORAGE,34
com.google.android.apps.googlevoice.permission.SEND_SMS,34
com.samsung.android.providers.context.permission.WRITE_USE_APP_FEATURE_SURVEY,34
org.adwfreak.launcher.permission.READ_SETTINGS,34
android.permission.INSTALL_SHORTCUT,33
android.permission.WRITE_PROFILE,33
android.permission.CHANGE_WIMAX_STATE,32
com.revesoft.itelmobiledialer.permission.C2D_MESSAGE,32
org.adw.launcher.permission.WRITE_SETTINGS,32
com.android.launcher3.permission.WRITE_SETTINGS,31
com.google.android.gm.permission.READ_CONTENT_PROVIDER,31
com.nokia.pushnotifications.permission.RECEIVE,31
com.google.android.gallery3d.permission.GALLERY_PROVIDER,30
android.permission.BROADCAST_SMS,29
org.adw.launcher_donut.permission.READ_SETTINGS,29
android.permission.BIND_WALLPAPER,28
com.lge.launcher.permission.WRITE_SETTINGS,28
android.hardware.sensor.accelerometer,27
android.permission.ACTION_VIEW,27
android.permission.INSTALL_DRM,27
android.permission.READ_HISTORY_BOOKMARKS,27
android.permission.INTERNAL_SYSTEM_WINDOW,26
android.permission.READ_SECURE_SETTINGS,26
android.permission.INTERACT_ACROSS_USERS,25
com.fede.launcher.permission.WRITE_SETTINGS,25
android.permission.ACCES_MOCK_LOCATION,24
android.permission.DUMP,24
android.permission.BOOT_COMPLETED,23
android.permission.PERMISSION_NAME,23
com.anddoes.launcher.permission.READ_SETTINGS,23
com.dsi.ant.permission.ANT,23
com.facebook.katana.provider.ACCESS,23
com.facebook.orca.provider.ACCESS,23
com.fsck.k9.permission.READ_MESSAGES,23
com.goodbarber.v2.permission.MAPS_RECEIVE,23
android.hardware.camera.autofocus,22
android.permission.ACCESS_ALL_DOWNLOADS,22
android.permission.BILLING,22
android.permission.BROADCAST_PACKAGE_REMOVED,22
android.permission.CAPTURE_AUDIO_OUTPUT,22
android.permission.FORCE_STOP_PACKAGES,22
android.permission.SET_ALARM,22
android.permission.WRITE_HISTORY_BOOKMARKS,22
com.facebook.home.permission.WRITE_BADGES,22
com.facebook.receiver.permission.ACCESS,22
com.motorola.dlauncher.permission.WRITE_SETTINGS,22
com.motorola.launcher.permission.WRITE_SETTINGS,22
18,21
com.dsi.ant.permission.ANT_ADMIN,21
com.huawei.android.launcher.permission.READ_SETTINGS,21
com.qihoo360.launcher.permission.READ_SETTINGS,21
net.qihoo.launcher.permission.READ_SETTINGS,21
.permission.MAPS_RECEIVE,20
android.permission.READ_SOCIAL_STREAM,20
android.permission.SET_ALWAYS_FINISH,20
android.permission.WRITE_SOCIAL_STREAM,20
com.google.android.apps.photos.permission.GOOGLE_PHOTOS,20
com.google.android.googleapps.permission.GOOGLE_AUTH.writely,20
com.tencent.qqlauncher.permission.READ_SETTINGS,20
pioneer.permission.appradio.ADVANCED_APPMODE,20
android.permission.ACCESS_CELL_ID,19
com.appbody.handyNote.resource.permission.READ_DATA,19
com.google.android.googleapps.permission.GOOGLE_AUTH.wise,19
com.samsung.accessory.permission.ACCESSORY_FRAMEWORK,19
android.permission.TRANSMIT_IR,18
com.anddoes.launcher.permission.WRITE_SETTINGS,18
com.android.mylauncher.permission.READ_SETTINGS,18
com.google.android.c2dm.intent.REGISTER,18
com.google.android.c2dm.intent.REGISTRATION,18
www.conduit.app.permission.C2D_MESSAGE,18
android.permission.NETWORK,17
android.permission.NEW_OUTGOING_CALL,17
android.permission.SET_ACTIVITY_WATCHER,17
com.google.android.c2dm.intent.UNREGISTER,17
com.huawei.launcher3.permission.READ_SETTINGS,17
com.teslacoilsw.launcher.permission.READ_SETTINGS,17
net.daum.android.login.AUTHENTICATE,17
android.permission.ACCESS_PHONE_STATE,16
android.permission.BIND_INPUT_METHOD,16
android.permission.SEND_DOWNLOAD_COMPLETED_INTENTS,16
android.permission.UNINSTALL_SHORTCUT,16
com.dolphin.browser.permission.ACCESS_PROVIDER,16
com.google.android.gm.permission.WRITE_GMAIL,16
getui.permission.GetuiService,16
android.permission.ACTION_SEND,15
android.permission.MASTER_CLEAR,15
android.permission.PROCESS_INCOMING_CALLS,15
android.permission.USES_POLICY_FORCE_LOCK,15
archos.permission.FULLSCREEN.FULL,15
com.lincy.escorial.permission.MAPS_RECEIVE,15
com.teslacoilsw.launcher.permission.WRITE_SETTINGS,15
org.telegram.messenger.permission.C2D_MESSAGE,15
org.telegram.messenger.permission.MAPS_RECEIVE,15
org.thialfihar.android.apg.permission.READ_KEY_DETAILS,15
.FlexionActivity$GooglePlayBillingReceiver,14
.FlexionActivity$GooglePlayBillingService,14
android.permission.ACCESS_BACKGROUND_SERVICE,14
android.permission.CONNECTIVITY_SERVICE,14
android.permission.FORCE_BACK,14
android.permission.GLOBAL_SEARCH,14
android.permission.NETWORK_STATE,14
android.permission.RUN_INSTRUMENTATION,14
android.permission.SET_PROCESS_LIMIT,14
android.permission.TELEPHONY_SERVICE,14
com.nokia.payment.BILLING,14
android.hardware.camera,13
android.hardware.telephony,13
android.permission.BACKUP_DATA,13
android.permission.DIAL_PHONE,13
android.permission.FLAG_ACTIVITY_NEW_TASK,13
android.permission.SET_ANIMATION_SCALE,13
android.permission.START_BACKGROUND_SERVICE,13
android.provider.Telephony.SMS_RECEIVED,13
com.gameinsight.fzmobile.permission.GETFZUDID,13
com.google.android.c2dm.intent.RECEIVE,13
android.permission.ACCESS_NETWORK,12
android.permission.BACKUP,12
android.permission.BIND_DEVICE_ADMIN,12
android.permission.PREVENT_POWER_KEY,12
android.permission.READ_INPUT_STATE,12
android.permission.READ_PHONE_DATA,12
android.permission.RESTART_PACKAGE,12
com.cleanmaster.security.permission.C2D_MESSAGE,12
com.cleanmaster.security.permission.MAPS_RECEIVE,12
com.facebook.katana.permission.C2D_MESSAGE,12
com.facebook.katana.permission.CROSS_PROCESS_BROADCAST_MANAGER,12
com.facebook.katana.permission.RECEIVE_ADM_MESSAGE,12
com.facebook.permission.debug.SYSTEM_COMMUNICATION,12
com.fsck.k9.permission.DELETE_MESSAGES,12
com.go.glwidget.settings.permission.READ_SETTINGS,12
com.go.glwidget.settings.permission.WRITE_SETTINGS,12
com.google.googlenav.friend.permission.OPT_IN,12
com.highbrow.game.permission.C2D_MESSAGE,12
com.huawei.launcher2.permission.READ_SETTINGS,12
com.larryvgs.battery.permission.ADDON,12
com.nd.android.launcher.permission.READ_SETTINGS,12
com.qihoo360.launcher.permission.WRITE_SETTINGS,12
com.todoroo.astrid.READ,12
net.dinglisch.android.tasker.PERMISSION_RUN_TASKS,12
org.mozilla.firefox_sync.permission.PER_ACCOUNT_TYPE,12
android.permission..BILLING,11
android.permission.BROADCAST_PACKAGE_ADDED,11
android.permission.CAPTURE_SECURE_VIDEO_OUTPUT,11
android.permission.CAPTURE_VIDEO_OUTPUT,11
android.permission.DIAGNOSTIC,11
android.permission.PACKAGE_USAGE_STATS,11
android.permission.UPDATE_APP_OPS_STATS,11
android.permission.WIFI_STATE,11
android.permission.WRITE_GSERVICES,11
com.amazon.permission.SET_FLAG_NOSOFTKEYS,11
com.android.launcher2.permission.READ_SETTINGS,11
com.bh.superflashcard.android.phonegap.permission.C2D_MESSAGE,11
com.google.android.googleapps.permission.GOOGLE_AUTH.ALL_SERVICES,11
com.google.android.googleapps.permission.GOOGLE_AUTH.OTHER_SERVICES,11
com.hbo.fcmm.permission.C2D_MESSAGE,11
com.htc.permission.APP_DEFAULT,11
com.sygic.aura.permission.C2D_MESSAGE,11
com.waluu.android.engine.permission.C2D_MESSAGE,11
evernote.permission.READ_DATA,11
