pid,Name
1,android.permission.CHANGE_COMPONENT_ENABLED_STATE
2,android.permission.WRITE_CONTACTS
3,android.permission.SUBSCRIBED_FEEDS_READ
4,android.permission.SUBSCRIBED_FEEDS_WRITE
5,android.permission.ACCESS_NETWORK_STATE
6,android.permission.READ_CONTACTS
7,android.permission.READ_PHONE_STATE
8,android.permission.WAKE_LOCK
9,android.permission.WRITE_EXTERNAL_STORAGE
10,android.permission.READ_LOGS
11,android.permission.CHANGE_CONFIGURATION
12,android.permission.INTERNET
13,com.android.browser.permission.READ_HISTORY_BOOKMARKS
14,com.android.browser.permission.WRITE_HISTORY_BOOKMARKS
15,android.permission.SYSTEM_ALERT_WINDOW
16,android.permission.READ_EXTERNAL_STORAGE
17,android.permission.NFC
18,android.permission.BLUETOOTH
19,android.permission.WRITE_SETTINGS
20,android.permission.MODIFY_AUDIO_SETTINGS
21,android.permission.CALL_PHONE
22,android.permission.GET_TASKS
23,android.permission.CHANGE_WIFI_STATE
24,android.permission.RECORD_AUDIO
25,android.permission.GET_ACCOUNTS
26,android.permission.VIBRATE
27,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS
28,android.permission.ACCESS_WIFI_STATE
29,android.permission.SEND_SMS
30,android.permission.ACCESS_FINE_LOCATION
31,android.permission.SET_WALLPAPER
32,android.permission.CAMERA
33,android.permission.CHANGE_WIFI_MULTICAST_STATE
34,android.permission.WRITE_INTERNAL_STORAGE
35,android.permission.ACCESS_COARSE_LOCATION
36,android.permission.CHANGE_NETWORK_STATE
37,android.permission.PERSISTENT_ACTIVITY
38,android.permission.READ_OWNER_DATA
39,android.permission.READ_SMS
40,android.permission.WRITE_CALENDAR
41,android.permission.WRITE_SMS
42,android.permission.READ_SYNC_SETTINGS
43,android.permission.WRITE_SYNC_SETTINGS
44,android.permission.DISABLE_KEYGUARD
45,android.permission.READ_USER_DICTIONARY
46,android.permission.WRITE_USER_DICTIONARY
47,android.permission.MANAGE_ACCOUNTS
48,android.permission.CLEAR_APP_CACHE
49,android.permission.KILL_BACKGROUND_PROCESSES
50,android.permission.FLASHLIGHT
51,android.permission.WRITE_MEDIA_STORAGE
52,android.permission.READ_CALL_LOG
53,android.permission.WRITE_CALL_LOG
54,android.permission.BROADCAST_STICKY
55,android.permission.RECEIVE_SMS
56,android.permission.RECEIVE_BOOT_COMPLETED
57,android.permission.ACCESS_GPS
58,android.permission.ACCESS_LOCATION
59,android.permission.ACCESS_ASSISTED_GPS
60,android.permission.ACCESS_CELL_ID
61,android.permission.SET_DEBUG_APP
62,android.permission.BACKUP
63,android.permission.READ_CALENDAR
64,android.permission.USE_CREDENTIALS
65,android.permission.BLUETOOTH_ADMIN
66,android.permission.INJECT_EVENTS
67,android.permission.DEVICE_POWER
68,android.permission.WRITE_OWNER_DATA
69,android.permission.WRITE_APN_SETTINGS
70,android.permission.SET_ORIENTATION
71,android.permission.MOUNT_UNMOUNT_FILESYSTEMS
72,android.permission.READ_FRAME_BUFFER
73,android.permission.ACCESS_COURSE_LOCATION
74,android.permission.CALL
75,android.permission.PROCESS_OUTGOING_CALLS
76,android.permission.ACCESS_COARSE_UPDATES
77,android.permission.USE_SIP
78,android.permission.CONFIGURE_SIP
79,android.permission.READ_PROFILE
80,android.permission.RAISED_THREAD_PRIORITY
81,android.permission.EXPAND_STATUS_BAR
82,android.permission.RESTART_PACKAGES
83,android.permission.ACTION_SEND
84,android.permission.ACTION_VIEW
85,android.permission.ACCESS_MOCK_LOCATION
86,android.permission.ACCESS_COARSE
87,android.permission.FINE_LOCATION
