PermissionId,ApkId
1,2795
5,1828
6,1828
7,1828
8,1828
9,1828
6,885
8,885
1,4326
6,4326
8,1799
12,6231
6,2464
8,2464
8,2800
22,6416
6,6416
7,6416
8,6416
25,2312
6,2312
24,2312
26,2312
8,2312
9,2312
8,3154
6,1737
28,6461
6,6461
8,6461
6,223
8,223
9,223
6,2468
7,2468
31,2468
8,2468
28,7433
32,7433
33,7433
23,7433
6,7433
26,7433
8,7433
9,7433
8,667
6,6914
6,491
8,491
6,7936
12,5102
9,5102
6,5474
6,648
8,648
5,5032
6,5032
6,6351
24,6351
8,825
12,6048
9,6048
5,770
28,770
54,770
32,770
44,770
20,770
6,770
24,770
8,770
6,961
54,5452
6,5452
31,5452
8,6763
56,2032
54,2632
31,2632
28,5938
22,5938
6,5938
7,5938
8,1180
9,1180
6,5672
6,90
8,90
6,6320
6,3230
8,3230
6,4398
12,5856
62,1981
54,1981
36,1981
31,1981
6,5113
9,5113
25,1099
6,1099
24,1099
8,1099
2,1099
6,555
7,555
56,555
31,555
9,555
6,6591
6,2886
6,695
64,695
8,695
24,7138
26,7138
8,7138
9,7138
6,3628
6,280
25,6021
6,6021
64,6021
8,6021
9,6021
28,8214
32,8214
24,8214
8,8214
6,1025
6,4692
56,4692
5,6486
6,6486
8,6486
9,6486
54,1891
6,1891
31,1891
62,662
18,662
65,662
1,662
23,662
6,662
55,662
26,662
28,4918
6,4918
8,4918
6,6535
28,5223
6,5223
8,5223
7,771
24,771
26,771
62,3980
28,6640
6,6640
25,5099
6,5099
7,5099
24,5099
26,5099
8,5099
2,5099
28,5271
62,5271
18,5271
65,5271
32,5271
23,5271
44,5271
25,5271
22,5271
66,5271
6,5271
24,5271
29,5271
31,5271
8,5271
19,5271
6,1937
8,1937
8,2832
6,4106
25,743
6,743
24,743
26,743
8,743
9,743
8,3523
6,6046
54,4305
23,4305
6,4305
24,4305
31,4305
64,4305
22,3048
6,3048
26,3048
9,3048
5,4503
6,4503
25,2482
6,2482
24,2482
26,2482
8,2482
9,2482
6,2653
9,2653
25,5781
6,5781
24,5781
9,5781
6,2320
6,3111
6,6427
6,279
5,4794
7,4794
8,1648
6,7510
5,1672
28,1672
54,1672
32,1672
20,1672
6,1672
7,1672
24,1672
9,1672
6,577
6,6307
25,5745
9,5745
5,68
6,68
6,3020
24,1417
26,1417
8,1417
6,3107
25,1934
22,1934
6,1934
9,1934
25,5160
6,5160
8,5160
6,496
56,496
9,496
6,7182
8,7182
5,463
6,463
8,463
9,463
25,849
6,849
64,849
22,4387
6,4387
8,4387
6,3911
6,5169
7,4583
6,4664
25,232
22,232
6,232
62,933
32,933
6,933
7,933
6,5614
28,4591
54,4591
32,4591
44,4591
20,4591
6,4591
24,4591
8,4591
28,185
25,185
6,185
9,185
6,6205
28,7172
6,7172
7,7172
9,7172
12,3934
25,4349
6,4349
24,4349
26,4349
8,4349
9,4349
6,7012
8,7012
6,4604
6,1211
7,1211
9,1211
25,4524
24,4524
26,4524
8,4524
6,97
1,5277
25,5277
47,5277
6,5277
24,5277
29,5277
64,5277
26,5277
8,5277
6,4966
8,4966
8,5929
8,859
6,1044
8,1044
8,6429
6,3821
25,3054
6,3054
24,3054
26,3054
8,3054
2,3054
5,766
6,766
6,354
6,6551
8,6551
8,6798
6,517
7,517
31,517
8,517
25,6411
6,6411
24,6411
26,6411
8,6411
9,6411
5,2362
6,2362
8,2362
12,5523
9,5523
28,5943
20,5943
6,5943
8,5943
6,4559
56,4559
8,4559
20,902
6,902
24,902
6,4841
26,4841
8,4841
9,4841
5,488
6,488
7,488
28,1375
54,1375
32,1375
44,1375
20,1375
6,1375
24,1375
8,1375
9,1375
6,5487
29,5487
6,6333
7,6333
37,1714
8,1714
28,1412
18,1412
25,1412
64,1412
6,1274
7,1274
31,1274
9,1274
6,4961
6,5091
28,4939
18,4939
6,4939
9,4939
6,6747
9,6747
19,6747
28,310
23,310
6,310
24,310
29,310
26,310
6,1900
6,237
6,3910
26,3910
5,6940
6,6940
6,4885
8,4885
9,4885
6,4899
64,4899
8,4899
28,443
18,443
6,443
22,1980
6,1980
7,1980
23,12
22,12
6,12
24,12
26,12
8,12
6,311
6,6644
7,6644
8,3198
56,6467
1,6368
5,6921
6,6921
8,6921
9,6921
5,2558
6,2558
6,2957
6,943
6,2640
7,2640
31,2640
8,2640
12,1353
12,5547
22,7150
6,1051
6,3072
8,3072
9,3072
8,5797
6,1882
6,884
8,884
9,884
25,616
6,616
24,616
26,616
8,616
9,616
6,434
6,6025
8,6025
9,6025
5,865
6,865
8,865
6,6373
7,6373
29,6373
26,6373
8,6373
19,6373
6,3626
8,3626
9,3626
28,5703
54,5703
6,5703
24,5703
9,5703
1,822
6,822
8,822
6,2688
24,2688
64,2688
6,4733
8,4733
6,711
7,6107
28,2563
62,2563
23,2563
6,2563
8,2563
9,2563
25,876
6,876
9,876
6,7059
8,7059
6,4554
8,4554
9,4554
6,6581
26,6581
20,3601
6,3601
24,3601
26,3601
8,3601
9,3601
32,5390
23,5390
6,5390
31,5390
26,5390
8,5390
18,2900
22,2900
12,1258
6,3627
8,3627
9,3627
8,4676
25,123
22,123
6,123
6,6391
32,5802
6,5802
56,5802
24,5802
26,5802
8,5802
8,3179
6,487
5,929
25,929
6,929
24,929
26,929
8,929
2,929
9,929
25,2377
6,2377
64,2377
8,2377
9,2377
12,1387
5,5852
6,5852
6,4532
9,4532
62,3188
31,3188
20,284
6,284
24,284
26,284
8,284
9,284
6,6350
9,6755
6,4649
24,4649
8,4649
5,465
6,465
9,465
5,3382
32,3382
12,3382
6,3382
7,3382
56,3382
24,3382
26,3382
8,3382
9,3382
5,1945
6,1945
8,1945
9,1945
25,706
6,706
7,706
8,706
9,706
8,66
28,5778
25,5778
6,5778
8,5778
6,6813
9,6813
28,1962
25,1962
22,1962
6,1962
9,1962
1,1140
7,1140
24,1140
26,1140
8,1140
6,3630
9,3630
6,5755
6,7947
6,325
32,1635
6,1635
8,1635
6,6685
8,6685
5,470
6,470
7,6911
64,6911
28,6625
6,6625
26,6625
8,6625
6,117
31,117
8,117
5,1297
22,1297
6,1297
7,1297
8,1297
6,6673
6,6323
8,6323
9,6323
6,6151
24,6151
32,3651
23,3651
6,3651
31,3651
26,3651
8,3651
18,6080
23,6080
6,3088
8,3088
12,2910
7,2910
8,2910
26,5552
6,1985
6,7020
6,2997
8,2997
6,2823
8,2823
28,2679
18,2679
54,2679
1,2679
31,2679
9,2679
6,4424
8,4052
8,569
6,6701
37,5976
6,2536
7,2536
31,2536
9,2536
9,2798
25,969
6,969
24,969
26,969
8,969
9,969
6,676
64,676
8,676
20,6465
6,6465
18,6803
1,6803
25,6803
22,6803
6,6803
7,6803
8,1227
25,1207
6,1207
24,1207
26,1207
8,1207
9,1207
6,7212
6,2389
6,7073
7,7073
31,7073
8,7073
6,6043
6,1496
8,1496
5,690
6,690
28,233
25,233
22,233
6,233
8,233
6,678
7,678
31,678
9,678
6,4245
64,4245
7,4672
26,4672
8,4672
5,7210
28,7210
25,7210
6,7210
24,7210
29,7210
8,7210
23,1161
25,1161
6,1161
24,1161
8,1161
6,6818
1,1403
6,1109
6,2092
62,5033
36,5033
8,3376
18,5299
20,5299
6,5299
26,5299
12,2937
24,2937
26,2937
8,2937
9,2937
28,3116
25,3116
22,3116
6,3116
8,3116
6,2574
64,2574
8,2574
28,3575
6,3575
26,3575
8,3575
32,1730
6,1730
7,1730
56,1730
24,1730
8,1730
9,1730
54,1116
6,1116
7,1116
26,1116
6,5453
25,6506
6,6506
24,6506
26,6506
8,6506
6,6900
8,6900
5,754
6,754
7,754
8,754
6,6724
8,6724
25,5283
6,5283
24,5283
26,5283
8,5283
6,4247
8,4247
54,4993
36,4993
31,4993
6,941
6,2834
7,2834
6,3010
8,3010
6,285
56,285
8,285
6,2317
8,2317
6,2328
8,2328
6,6559
8,6559
5,1890
6,1890
1,373
12,373
8,1014
32,5326
23,5326
6,5326
31,5326
26,5326
8,5326
6,3210
28,1973
6,1973
7,1973
26,1973
8,1973
6,2351
6,7177
7,7177
6,7006
12,366
6,366
7,1039
12,554
6,554
8,554
9,554
6,5066
8,5066
56,2567
18,287
6,287
98,287
6,6464
24,6464
6,4967
20,5286
6,5286
24,5286
26,5286
8,5286
9,5286
6,6176
28,89
25,89
22,89
6,89
8,89
25,6836
6,6836
7,6836
24,6836
26,6836
8,6836
56,27
8,27
32,3259
23,3259
6,3259
31,3259
26,3259
8,3259
6,4543
25,234
22,234
8,5936
20,236
6,236
8,236
6,2282
5,5648
6,5648
23,4311
6,4311
8,4311
6,6706
8,6706
9,6706
6,689
24,689
64,689
6,1746
28,590
36,590
22,590
6,590
56,590
8,590
6,2570
64,2570
8,2570
8,5254
6,6719
8,6719
6,1631
26,1631
9,1631
6,797
7,797
8,5773
6,5135
28,5827
6,5827
8,5827
28,2959
32,1941
23,1941
6,1941
31,1941
26,1941
8,1941
6,5057
8,5057
54,4253
20,4253
6,4253
28,651
6,1830
7,4814
1,2885
66,2885
6,2885
6,1079
56,6927
6,7195
8,3183
6,5794
6,6783
5,525
18,525
25,525
12,525
6,525
7,525
26,525
8,525
9,525
6,4416
8,4792
5,6717
6,6717
28,4333
7,4333
6,2260
8,2260
6,6654
8,6654
5,842
6,842
8,842
9,842
8,3150
28,7013
6,1474
62,661
18,661
65,661
23,661
6,661
26,661
5,6764
6,6764
6,2721
8,1187
6,4172
64,4172
8,4172
8,2005
1,3009
25,3009
47,3009
6,3009
7,3009
24,3009
29,3009
64,3009
26,3009
8,3009
8,5770
9,2917
6,4198
64,4198
8,4198
25,2487
6,2487
24,2487
26,2487
8,2487
9,2487
28,5996
62,5996
23,5996
6,5996
6,5190
6,4556
24,4556
64,4556
8,6772
1,6275
6,6275
7,6275
8,6275
9,6275
6,6716
8,6716
29,3730
8,3290
22,5440
6,5440
26,5440
6,3713
8,5724
25,4054
6,4054
64,4054
26,4054
8,4054
9,4389
6,6067
8,6067
6,3983
8,3983
1,107
22,107
6,107
8,835
28,4209
6,4209
8,4209
9,4209
6,3984
8,3984
9,3984
5,2121
6,2121
6,4943
8,4943
8,4309
8,3170
21,385
104,385
6,385
6,3775
6,6924
7,6924
31,6924
8,6924
6,312
7,312
29,312
26,312
8,312
26,769
8,769
9,769
66,6758
19,6758
25,2585
6,2585
64,2585
9,2585
6,1021
6,5846
6,2662
28,5266
62,5266
18,5266
65,5266
32,5266
23,5266
44,5266
25,5266
22,5266
66,5266
6,5266
24,5266
29,5266
31,5266
8,5266
19,5266
25,5763
6,5763
24,5763
9,5763
9,2603
1,979
6,979
20,261
6,261
8,261
22,2572
6,2572
8,2572
6,2223
8,2223
9,2223
8,2754
32,2759
1,2759
9,2759
54,6408
6,6408
31,6408
1,546
25,546
47,546
7,546
24,546
29,546
64,546
26,546
8,546
9,546
12,1083
6,1083
7,1083
29,1083
26,1083
9,1083
19,1083
1,3724
56,3724
6,1577
8,1577
32,2089
25,2089
6,2089
26,2089
5,600
12,600
6,600
8,600
6,73
28,5072
6,5072
7,5072
26,5072
28,5638
6,4541
6,1477
6,1694
9,1694
28,1464
8,3094
26,5833
9,5833
6,6168
7,6168
29,6168
26,6168
8,6168
9,6168
8,2719
5,841
6,841
5,4522
28,4522
32,4522
44,4522
20,4522
6,4522
24,4522
8,4522
9,4522
28,7233
6,7233
7,7233
26,7233
8,7233
9,7233
28,5159
6,5159
8,5159
6,5853
8,5853
9,5853
64,1192
8,1192
5,4383
6,4383
6,5953
18,5198
65,5198
32,5198
6,5198
29,5198
12,187
6,187
5,2250
12,2250
6,4989
7,6214
62,265
6,2313
28,5544
26,5544
8,5544
9,5544
56,942
32,28
36,28
23,28
25,28
6,28
24,28
26,28
8,28
28,2894
8,2894
5,3547
6,3547
7,3547
29,3547
26,3547
8,3547
19,3547
6,925
6,4774
8,4774
23,451
6,451
31,451
26,451
8,451
6,1250
8,1250
9,1250
6,5289
9,5289
54,3987
25,3987
6,3987
31,3987
64,3987
6,2350
7,2350
25,759
6,759
24,759
26,759
8,759
9,759
25,6560
6,6560
24,6560
26,6560
8,6560
9,6560
28,6819
32,6819
25,6819
6,6819
24,6819
29,6819
26,6819
8,6819
9,6819
5,2768
8,2768
9,7687
6,4719
6,5814
28,4964
20,4964
6,4964
8,4964
6,19
7,19
22,3440
66,3440
6,3440
6,2577
7,2577
8,2577
54,4301
20,4301
6,4301
6,2594
7,2594
6,3923
8,2684
12,1509
5,3819
32,3819
6,3819
56,3819
26,3819
8,3819
9,3819
6,3735
18,2705
20,2705
64,2705
37,5153
6,5153
8,5153
6,4768
1,266
6,6811
24,6811
26,6811
8,6811
9,6811
6,379
19,379
5,788
6,788
7,436
56,436
31,436
9,436
32,6471
24,6471
5,2668
6,2668
9,5505
25,5656
6,5656
24,5656
26,5656
8,5656
9,5656
6,3416
8,3416
8,817
8,3604
1,4517
25,4517
47,4517
6,4517
7,4517
24,4517
29,4517
