privid,privName
82,android.permission.ACCESS_NETWORK_STATE
83,android.permission.GET_ACCOUNTS
84,android.permission.MANAGE_ACCOUNTS
85,android.permission.INTERNET
86,android.permission.READ_CONTACTS
87,android.permission.WRITE_CONTACTS
88,android.permission.READ_SYNC_SETTINGS
89,android.permission.RECEIVE_BOOT_COMPLETED
90,android.permission.SUBSCRIBED_FEEDS_READ
91,android.permission.SUBSCRIBED_FEEDS_WRITE
92,android.permission.USE_CREDENTIALS
93,android.permission.VIBRATE
94,android.permission.WAKE_LOCK
95,android.permission.WRITE_SYNC_SETTINGS
96,android.permission.WRITE_EXTERNAL_STORAGE
97,com.google.android.gm.permission.READ_GMAIL
98,com.google.android.gm.permission.WRITE_GMAIL
99,com.google.android.googleapps.permission.GOOGLE_AUTH
100,com.google.android.googleapps.permission.GOOGLE_AUTH.mail
101,com.google.android.providers.gsf.permission.READ_GSERVICES
102,com.google.android.gm.permission.AUTO_SEND
103,com.google.android.voicesearch.AUDIO_FILE_ACCESS
104,android.permission.ACCESS_COARSE_LOCATION
105,android.permission.ACCESS_FINE_LOCATION
106,android.permission.ACCESS_LOCATION_EXTRA_COMMANDS
107,android.permission.READ_LOGS
108,com.android.vending.BILLING
109,android.permission.SET_WALLPAPER
110,android.permission.CHANGE_CONFIGURATION
111,com.android.browser.permission.READ_HISTORY_BOOKMARKS
112,com.android.browser.permission.WRITE_HISTORY_BOOKMARKS
113,android.permission.SYSTEM_ALERT_WINDOW
114,android.permission.READ_PHONE_STATE
115,android.permission.ACCESS_WIFI_STATE
116,android.permission.READ_EXTERNAL_STORAGE
117,android.permission.NFC
118,android.permission.BLUETOOTH
119,com.google.android.googleapps.permission.GOOGLE_AUTH.youtube
120,com.google.android.googleapps.permission.GOOGLE_AUTH.YouTubeUser
121,com.google.android.videos.permission.C2D_MESSAGE
122,com.google.android.c2dm.permission.RECEIVE
123,android.permission.WRITE_SETTINGS
124,android.permission.MODIFY_AUDIO_SETTINGS
125,android.permission.CALL_PHONE
126,android.permission.CHANGE_WIFI_STATE
127,android.permission.RECORD_AUDIO
128,READ_PHONE_STATE
129,com.voltage.g.shren.en.permission.C2D_MESSAGE
130,android.permission.CAMERA
131,com.app_oregonfoodbank.layout.permission.C2D_MESSAGE
132,android.permission.SEND_SMS
133,android.webkit.permission.PLUGIN
134,com.wFindDreamHomesinSoCal.permission.C2D_MESSAGE
135,com.android.launcher.permission.INSTALL_SHORTCUT
136,android.permission.DISABLE_KEYGUARD
137,com.vivivi.menshair.permission.C2D_MESSAGE
138,android.permission.GET_TASKS
139,com.google.android.gms.permission.ACTIVITY_RECOGNITION
140,android.permission.WRITE_INTERNAL_STORAGE
141,android.permission.CHANGE_NETWORK_STATE
142,android.permission.PERSISTENT_ACTIVITY
143,android.permission.READ_OWNER_DATA
144,android.permission.READ_SMS
145,android.permission.RECEIVE_SMS
146,android.permission.WRITE_CALENDAR
147,android.permission.WRITE_SMS
148,android.permission.READ_USER_DICTIONARY
149,android.permission.WRITE_USER_DICTIONARY
150,android.permission.CLEAR_APP_CACHE
151,android.permission.KILL_BACKGROUND_PROCESSES
152,android.permission.FLASHLIGHT
153,android.permission.WRITE_MEDIA_STORAGE
154,com.lookout.permission.C2D_MESSAGE
155,android.permission.READ_CALL_LOG
156,android.permission.WRITE_CALL_LOG
157,ru.yandex.taxi.ORDER_NOTIFICATION
158,com.yandex.promolib.permission.SYNC_DATA
159,com.yandex.promolib.permission.READ_DATA
160,com.yandex.promolib.permission.WRITE_DATA
161,com.yandex.promolib.permission.RECEIVE_DATA
162,com.yandex.promolib.permission.ACCESS_START_SVC
163,ru.yandex.taxi.permission.C2D_MESSAGE
164,android.permission.ACCESS_GPS
165,android.permission.ACCESS_LOCATION
166,android.permission.ACCESS_ASSISTED_GPS
167,com.lifeapp01.life_01_46.permission.C2D_MESSAGE
168,android.permission.ACCESS_CELL_ID
169,com.visibleapps.mediapp.ui188301.permission.C2D_MESSAGE
170,android.permission.SET_DEBUG_APP
171,android.permission.ACCESS_MOCK_LOCATION
172,android.permission.READ_CALENDAR
173,com.coreapps.android.followme.aap2013am.permission.C2D_MESSAGE
174,com.blupan.blagues.permission.C2D_MESSAGE
175,com.conduit.app_3c7d0bbd7c484d72aeb2fbf38766a85f.app.permission.C2D_MESSAGE
176,com.wCrg1WebDesignApplication.permission.C2D_MESSAGE
177,com.android.vending.CHECK_LICENSE
178,ltd.pte.wavea.delusionallove.permission.C2D_MESSAGE
179,de.abeig.areader.permission.C2D_MESSAGE
180,com.cogniserv.fieldserv.permission.MAPS_RECEIVE
181,com.app_hugomesa9994fi.layout.permission.C2D_MESSAGE
182,android.permission.RESTART_PACKAGES
183,com.app_cathodeazure.layout.permission.C2D_MESSAGE
184,com.the7art.happywitchwallpaper.permission.C2D_MESSAGE
185,com.the7art.clockwallpaperlib.permission.PUSH_MESSAGE_RECEIVE
186,android.permission.DEVICE_POWER
187,android.permission.WRITE_OWNER_DATA
188,android.permission.WRITE_APN_SETTINGS
189,android.permission.SET_ORIENTATION
190,android.permission.MOUNT_UNMOUNT_FILESYSTEMS
191,android.permission.READ_FRAME_BUFFER
192,com.sherpa.imatsny2013.permission.C2D_MESSAGE
193,android.permission.BROADCAST_STICKY
194,com.mediascore.cfun.permission.C2D_MESSAGE
